seed,alpha,gamma,task,predicted_capacity,empirical_test_r2,empirical_test_corr2
0,0.75,0.15898133838263404,"15,25",0.001038300486223221,-0.002218658782175309,0.0005471839283421116
1,0.0,0.1000000000039113,"1,2",0.13960055046132536,0.1373736134666732,0.13951959023048588
1,0.0,0.1000000000039113,"1,5",0.054026049536164016,0.05467856676501848,0.056545186529832904
1,0.0,0.1000000000039113,"1,10",0.029968202991586267,0.020717773795263184,0.023262877212981398
1,0.0,0.1000000000039113,"5,10",0.016898086383692182,0.011605713954482844,0.012444452836769898
1,0.0,0.1000000000039113,"5,15",0.00970711575494537,-0.000532826158790467,0.005043159081708426
1,0.0,0.1000000000039113,"10,20",0.005827587575618285,-0.0005823008378378347,0.002574366589489529
1,0.0,0.1000000000039113,"15,25",0.0017913077799809065,-0.0027429406945786994,0.0017675831948528284
1,0.25,0.09740152893900894,"1,2",0.13491575447695267,0.1279757302648633,0.1307565635466961
1,0.25,0.09740152893900894,"1,5",0.05041114367612769,0.049732880271303403,0.05148679048066703
1,0.25,0.09740152893900894,"1,10",0.026324851060496056,0.019161065553874868,0.021361017391586808
1,0.25,0.09740152893900894,"5,10",0.015890805030382933,0.010731703158174732,0.011624723099936677
1,0.25,0.09740152893900894,"5,15",0.00914860736932081,-0.0015060741360743979,0.004485307844943966
1,0.25,0.09740152893900894,"10,20",0.005028385707223281,-0.0007360640906228788,0.002200491668034255
1,0.25,0.09740152893900894,"15,25",0.001185438433980495,-0.002844542485746171,0.0015514562746718338
1,0.5,0.10780128708167173,"1,2",0.16406828419922767,0.15266024992376148,0.15505597965485043
1,0.5,0.10780128708167173,"1,5",0.0596459758954427,0.05955971950166916,0.06105998521635261
1,0.5,0.10780128708167173,"1,10",0.02417498942863395,0.020207446522106043,0.021625183268217094
1,0.5,0.10780128708167173,"5,10",0.015699690504014263,0.008032059126285684,0.009334351847192765
1,0.5,0.10780128708167173,"5,15",0.007047092667371947,-0.003954911451903742,0.0025023840533194798
1,0.5,0.10780128708167173,"10,20",0.0030059429538198306,-0.001732054345511047,0.0011617585347826035
1,0.5,0.10780128708167173,"15,25",0.0004429177380497965,-0.0033463725136542166,0.0009012439517930737
1,0.75,0.1446251090010001,"1,2",0.227289407830872,0.2197862246178488,0.22055675985995368
1,0.75,0.1446251090010001,"1,5",0.10887377986993461,0.11017611126804694,0.11131939566720457
1,0.75,0.1446251090010001,"1,10",0.024680768823480113,0.02332865474946677,0.023766433481745817
1,0.75,0.1446251090010001,"5,10",0.02310090711330812,0.011074134638359157,0.012714148776444743
1,0.75,0.1446251090010001,"5,15",0.0036766171784746765,-0.005743431036031366,0.0004890027819266261
1,0.75,0.1446251090010001,"10,20",0.0007561992340395265,-0.0025704452402053324,0.0005330852142655566
1,0.75,0.1446251090010001,"15,25",0.0001743081996892972,-0.0031360793132060305,0.0004239228867928982
2,0.0,0.10000000000159946,"1,2",0.1460688094118907,0.16245343971013881,0.16256086855862623
2,0.0,0.10000000000159946,"1,5",0.0361695014140662,0.023630387629737015,0.02475785423596502
2,0.0,0.10000000000159946,"1,10",0.03145561296070015,0.024274830607262765,0.025933712427713602
2,0.0,0.10000000000159946,"5,10",0.01722998384479018,0.011345785179870838,0.012954618126381212
2,0.0,0.10000000000159946,"5,15",0.005347602436520305,0.002976197334441988,0.0032002252971858
2,0.0,0.10000000000159946,"10,20",0.002319868397627363,-0.0011809288094475345,0.0005427257281207751
2,0.0,0.10000000000159946,"15,25",0.0011204480118542086,-0.003744803540242758,0.00026354601407314773
2,0.25,0.09688352956445387,"1,2",0.14359137096714986,0.1590998407373747,0.15919558424668337
2,0.25,0.09688352956445387,"1,5",0.0362745931263092,0.022619182079508526,0.02381297348087868
2,0.25,0.09688352956445387,"1,10",0.03133850984856251,0.022787587531283626,0.024887307001200835
2,0.25,0.09688352956445387,"5,10",0.021152107525113803,0.01408663525939835,0.01601632434605506
2,0.25,0.09688352956445387,"5,15",0.005884511871551514,0.0031308172981694415,0.003420467269375676
2,0.25,0.09688352956445387,"10,20",0.0024556522798878664,-0.0003453879403978455,0.0009880993115927185
2,0.25,0.09688352956445387,"15,25",0.001112941198838833,-0.004404965095019087,0.0001105103512465938
2,0.5,0.12176163267382435,"1,2",0.21212273957650693,0.21936559260653754,0.21941654289792
2,0.5,0.12176163267382435,"1,5",0.05354192626424342,0.03800841751782502,0.03922909986134241
2,0.5,0.12176163267382435,"1,10",0.03523459069001767,0.023429848206045323,0.02643667571414793
2,0.5,0.12176163267382435,"5,10",0.020876858051257496,0.013967683992596958,0.014500215352842159
2,0.5,0.12176163267382435,"5,15",0.005338301634974199,0.0024631880048220367,0.002756186663824689
2,0.5,0.12176163267382435,"10,20",0.0016505157342573287,0.0010573343231756738,0.0014930606218428717
2,0.5,0.12176163267382435,"15,25",0.0008012537411975125,-0.004141081049084061,0.00020483508034993916
2,0.75,0.23258541211503087,"1,2",0.3210652574959049,0.3282937019194395,0.3282954156919831
2,0.75,0.23258541211503087,"1,5",0.12212406688556358,0.10018787066211488,0.10186265942751453
2,0.75,0.23258541211503087,"1,10",0.0338341321399932,0.01848085044527159,0.022095477163243046
2,0.75,0.23258541211503087,"5,10",0.014328841283802563,0.004604276727761425,0.006663883845768001
2,0.75,0.23258541211503087,"5,15",0.0021752569595568897,0.00012078251188352152,0.0010478662785958974
2,0.75,0.23258541211503087,"10,20",0.0004581276682906988,-0.002306485754094423,0.0003097165706865282
2,0.75,0.23258541211503087,"15,25",0.00013280517139996155,-0.0050955800302765475,5.3056061122032465e-05
