seed,task,candidate_count,predicted_best_alpha,empirical_best_alpha,oracle_score,proxy_selected_score,proxy_regret,local_score,most_collective_score,random_candidate_expected_score,proxy_gain_vs_local,proxy_gain_vs_most_collective,proxy_gain_vs_random_expected,spearman,kendall,pairwise_accuracy,max_absolute_score_error,mean_absolute_score_error,top1_contains_oracle,top1_regret,top1_training_saving,top2_contains_oracle,top2_regret,top2_training_saving,top3_contains_oracle,top3_regret,top3_training_saving,top4_contains_oracle,top4_regret,top4_training_saving
1,"10,20",4,0.0,0.0,0.0025743665894895,0.0025743665894895,0.0,0.0025743665894895,0.0005330852142655,0.00161742550164295,0.0,0.002041281375224,0.0009569410878465499,1.0,1.0,1.0,0.0032532209861287,0.002037103366032225,True,0.0,0.75,True,0.0,0.5,True,0.0,0.25,True,0.0,0.0
1,"15,25",4,0.0,0.0,0.0017675831948528,0.0017675831948528,0.0,0.0017675831948528,0.0004239228867928,0.0011610515770276,0.0,0.00134366030806,0.0006065316178252001,1.0,1.0,1.0,0.0004583262137433,0.0002744208316666,True,0.0,0.75,True,0.0,0.5,True,0.0,0.25,True,0.0,0.0
1,"5,10",4,0.75,0.75,0.0127141487764447,0.0127141487764447,0.0,0.0124444528367698,0.0127141487764447,0.01152941914008595,0.00026969593967490074,0.0,0.0011847296363587494,1.0,1.0,1.0,0.0103867583368634,0.0063679531177633746,True,0.0,0.75,True,0.0,0.5,True,0.0,0.25,True,0.0,0.0
1,"5,15",4,0.0,0.0,0.0050431590817084,0.0050431590817084,0.0,0.0050431590817084,0.0004890027819266,0.003129963440474575,0.0,0.0045541562997818,0.0019131956412338246,1.0,1.0,1.0,0.0046639566732369,0.0042648948020535754,True,0.0,0.75,True,0.0,0.5,True,0.0,0.25,True,0.0,0.0
2,"1,10",4,0.5,0.5,0.0264366757141479,0.0264366757141479,0.0,0.0259337124277136,0.022095477163243,0.024838293076576326,0.000502963286434302,0.004341198550904899,0.0015983826375715743,0.39999999999999997,0.3333333333333334,0.6666666666666666,0.0117386549767502,0.008127418333242025,True,0.0,0.75,True,0.0,0.5,True,0.0,0.25,True,0.0,0.0
2,"1,2",4,0.75,0.75,0.3282954156919831,0.3282954156919831,0.0,0.1625608685586262,0.3282954156919831,0.21736710284880317,0.16573454713335692,0.0,0.11092831284317994,1.0,1.0,1.0,0.016492059146735488,0.011655058485940076,True,0.0,0.75,True,0.0,0.5,True,0.0,0.25,True,0.0,0.0
2,"1,5",4,0.75,0.75,0.1018626594275145,0.1018626594275145,0.0,0.024757854235965,0.1018626594275145,0.04741564675142512,0.0771048051915495,0.0,0.05444701267608938,0.7999999999999999,0.6666666666666669,0.8333333333333334,0.020261407458048997,0.014611875171120451,True,0.0,0.75,True,0.0,0.5,True,0.0,0.25,True,0.0,0.0
2,"10,20",4,0.25,0.5,0.0014930606218428,0.0009880993115927,0.0005049613102500999,0.0005427257281207,0.0003097165706865,0.000833400558060675,0.0004453735834720001,0.0006783827409062,0.00015469875353202507,0.39999999999999997,0.3333333333333334,0.6666666666666666,0.0017771426695066001,0.000887640461955075,False,0.0005049613102500999,0.75,False,0.0005049613102500999,0.5,True,0.0,0.25,True,0.0,0.0
2,"15,25",4,0.0,0.0,0.0002635460140731,0.0002635460140731,0.0,0.0002635460140731,5.305606112203247e-05,0.00015798687669788311,0.0,0.00021048995295106757,0.00010555913737521691,0.7999999999999999,0.6666666666666669,0.8333333333333334,0.0010024308475922998,0.0006338751541247169,True,0.0,0.75,True,0.0,0.5,True,0.0,0.25,True,0.0,0.0
2,"5,10",4,0.25,0.25,0.016016324346055,0.016016324346055,0.0,0.0129546181263812,0.006663883845768,0.012533760417761575,0.003061706219673799,0.009352440500287,0.003482563928293424,1.0,1.0,1.0,0.007664957438034501,0.005863187258479375,True,0.0,0.75,True,0.0,0.5,True,0.0,0.25,True,0.0,0.0
2,"5,15",4,0.25,0.25,0.0034204672693756,0.0034204672693756,0.0,0.0032002252971858,0.0010478662785958,0.00260618637724545,0.00022024197218979994,0.0023726009907798,0.0008142808921301498,1.0,1.0,1.0,0.0025821149711495,0.0020802318484052246,True,0.0,0.75,True,0.0,0.5,True,0.0,0.25,True,0.0,0.0
