seed,label,delay,capacity
64008,collective,5,0.9798810560915516
64008,collective,6,0.9479828264248383
64008,collective,7,0.9131742667806032
64008,collective,8,0.8617352608681048
64008,collective,9,0.8173089765327513
64008,collective,10,0.6372546958108133
64008,collective,11,0.6283230689263852
64008,collective,12,0.6184642714348721
64008,collective,13,0.4891637528991873
64008,collective,14,0.5350483690686615
64008,collective,15,0.3524226626369372
64008,collective,16,0.2862621455520659
64008,collective,17,0.22435508802788426
64008,collective,18,0.15513223496940437
64008,collective,19,0.11291386700245643
64008,collective,20,0.123721663548796
64008,local_fixed,1,0.999852125537638
64008,local_fixed,2,0.9991847514552855
64008,local_fixed,3,0.9966811747254384
64008,local_fixed,4,0.9877035893833696
64008,local_fixed,5,0.9627916177227765
64008,local_fixed,6,0.8389525993997059
64008,local_fixed,7,0.6753545636230439
64008,local_fixed,8,0.5604496759103644
64008,local_fixed,9,0.46592092877650265
64008,local_fixed,10,0.3724832601453083
64008,local_fixed,11,0.31446235727184485
64008,local_fixed,12,0.2565576612831927
64008,local_fixed,13,0.18183050865408584
64008,local_fixed,14,0.12580536660835775
64008,local_fixed,15,0.08521049322869952
64008,local_fixed,16,0.0876159448337458
64008,local_fixed,17,0.038891770779202285
64008,local_fixed,18,0.01870519046284692
64008,local_fixed,19,0.014355102144776598
64008,local_fixed,20,0.01993555684265256
64008,local_gap_matched,1,0.9980689495640479
64008,local_gap_matched,2,0.9939985997393983
64008,local_gap_matched,3,0.9866663499489728
64008,local_gap_matched,4,0.9760797553020906
64008,local_gap_matched,5,0.9530397837283512
64008,local_gap_matched,6,0.9196780178595707
64008,local_gap_matched,7,0.8982752978870457
64008,local_gap_matched,8,0.7996229080716004
64008,local_gap_matched,9,0.7065405577830972
64008,local_gap_matched,10,0.6380159595851862
64008,local_gap_matched,11,0.4752256748925521
64008,local_gap_matched,12,0.4578624816920916
64008,local_gap_matched,13,0.37957601164185323
64008,local_gap_matched,14,0.30777708543804916
64008,local_gap_matched,15,0.25925452698946233
64008,local_gap_matched,16,0.2128677225981378
64008,local_gap_matched,17,0.13563045322570066
64008,local_gap_matched,18,0.12032130883898508
64008,local_gap_matched,19,0.05102548830886254
64008,local_gap_matched,20,0.029731377497397078
64009,collective,1,0.9991384611021422
64009,collective,2,0.9901567056297266
64009,collective,3,0.951572737060307
64009,collective,4,0.9146274948138808
64009,collective,5,0.8469133881395517
64009,collective,6,0.7473170709253353
64009,collective,7,0.6906941371228054
64009,collective,8,0.5490005378054027
64009,collective,9,0.5980903259553131
64009,collective,10,0.45433573306102476
64009,collective,11,0.5236028285962678
64009,collective,12,0.46679717219685907
64009,collective,13,0.45555606207183813
64009,collective,14,0.4644493112981798
64009,collective,15,0.40292776468349756
64009,collective,16,0.38610050507527055
64009,collective,17,0.34906295760860123
64009,collective,18,0.3574330477657772
64009,collective,19,0.2676758904597229
64009,collective,20,0.24424507484045554
64009,local_fixed,1,0.999281278970179
64009,local_fixed,2,0.9952689730701776
64009,local_fixed,3,0.9757744361841794
64009,local_fixed,4,0.9080275683873639
64009,local_fixed,5,0.8094852776088524
64009,local_fixed,6,0.7154321576686842
64009,local_fixed,7,0.5880538258161155
64009,local_fixed,8,0.499018628371553
64009,local_fixed,9,0.4295106734577866
64009,local_fixed,10,0.35067255807672926
64009,local_fixed,11,0.28960227536041294
64009,local_fixed,12,0.2473564016163124
64009,local_fixed,13,0.25134043195401923
64009,local_fixed,14,0.18153803846542285
64009,local_fixed,15,0.11449299626052176
64009,local_fixed,16,0.048518439266776583
64009,local_fixed,17,0.028297570034532864
64009,local_fixed,18,0.01955184288968096
64009,local_fixed,19,0.0017906851910830625
64009,local_fixed,20,0.0037402996961561257
64009,local_gap_matched,1,0.7889277076358079
64009,local_gap_matched,2,0.7029125302451422
64009,local_gap_matched,3,0.7109263368801881
64009,local_gap_matched,4,0.6486265025613004
64009,local_gap_matched,5,0.5260491713070051
64009,local_gap_matched,6,0.566312903880577
64009,local_gap_matched,7,0.5361841604057959
64009,local_gap_matched,8,0.5701513674124584
64009,local_gap_matched,9,0.519581021474635
64009,local_gap_matched,10,0.41942981440507227
64009,local_gap_matched,11,0.4569367573174534
64009,local_gap_matched,12,0.43413971344156177
64009,local_gap_matched,13,0.43310855569371104
64009,local_gap_matched,14,0.4078183822209897
64009,local_gap_matched,15,0.3395467653106766
64009,local_gap_matched,16,0.3631893759077524
64009,local_gap_matched,17,0.3282572496471538
64009,local_gap_matched,18,0.28942407886442756
64009,local_gap_matched,19,0.4577351064908788
64009,local_gap_matched,20,0.3224653277070334
64010,collective,1,0.9985503489138895
64010,collective,2,0.9871461159259574
64010,collective,3,0.9477465260958006
64010,collective,4,0.8797179250760012
64010,collective,5,0.8125658676000511
64010,collective,6,0.7322187598896227
64010,collective,7,0.6453941739618373
64010,collective,8,0.6058928406709553
64010,collective,9,0.5833743279908439
64010,collective,10,0.5685197302919689
64010,collective,11,0.548395658427007
64010,collective,12,0.5595427860247673
64010,collective,13,0.5230134570700884
64010,collective,14,0.53775266817064
64010,collective,15,0.47608102403554414
64010,collective,16,0.47484580823415545
64010,collective,17,0.36195305281487716
64010,collective,18,0.3813011868019052
64010,collective,19,0.27835972637236894
64010,collective,20,0.3283684181593208
64010,local_fixed,1,0.9995986255405604
64010,local_fixed,2,0.9956655469927267
64010,local_fixed,3,0.9662998216443685
64010,local_fixed,4,0.8968844169142842
64010,local_fixed,5,0.8136418358170789
64010,local_fixed,6,0.6405742036417308
64010,local_fixed,7,0.5950057656787524
64010,local_fixed,8,0.47842397324056823
64010,local_fixed,9,0.35622037119617495
64010,local_fixed,10,0.28974560389941556
64010,local_fixed,11,0.23609318372734947
64010,local_fixed,12,0.20205904822728493
64010,local_fixed,13,0.136760633013676
64010,local_fixed,14,0.050044466508710375
64010,local_fixed,15,0.0021538690537290556
64010,local_fixed,16,0.0003895642224413703
64010,local_fixed,17,0.00010132882317113305
64010,local_fixed,18,0.002824225883666328
64010,local_fixed,19,0.005152688313605038
64010,local_fixed,20,0.0009953039676456744
64010,local_gap_matched,1,0.97593297193821
64010,local_gap_matched,2,0.9481970666860704
64010,local_gap_matched,3,0.8970356002881811
64010,local_gap_matched,4,0.8377451039858331
64010,local_gap_matched,5,0.78030731249884
64010,local_gap_matched,6,0.7432670802624007
64010,local_gap_matched,7,0.7068627849711892
64010,local_gap_matched,8,0.6760455519329742
64010,local_gap_matched,9,0.6338344394594986
64010,local_gap_matched,10,0.5306941469116286
64010,local_gap_matched,11,0.5850589638778867
64010,local_gap_matched,12,0.42813400008309704
64010,local_gap_matched,13,0.36766106542337407
64010,local_gap_matched,14,0.37578188560557924
64010,local_gap_matched,15,0.36604842695129974
64010,local_gap_matched,16,0.3256266120372258
64010,local_gap_matched,17,0.15658829235990507
64010,local_gap_matched,18,0.17616024039060132
64010,local_gap_matched,19,0.17100588377192075
64010,local_gap_matched,20,0.10281251865823038
64011,collective,1,0.9997654186243753
64011,collective,2,0.9983211289874111
64011,collective,3,0.9936134033397825
64011,collective,4,0.9831959446695065
64011,collective,5,0.9651600946123581
64011,collective,6,0.933980570955621
64011,collective,7,0.9019305010984232
64011,collective,8,0.8591521434094638
64011,collective,9,0.8369497343438714
64011,collective,10,0.7595292001536463
64011,collective,11,0.5626203789569856
64011,collective,12,0.5217428719299215
64011,collective,13,0.4385950889083413
64011,collective,14,0.4200416547525225
64011,collective,15,0.3035209234679804
64011,collective,16,0.31226436501972077
64011,collective,17,0.2427813808155264
64011,collective,18,0.1351087365227996
64011,collective,19,0.17503798202629875
64011,collective,20,0.0910061373217016
64011,local_fixed,1,0.9997783150936496
64011,local_fixed,2,0.997950870004307
64011,local_fixed,3,0.9948306729287056
64011,local_fixed,4,0.9873612212618668
64011,local_fixed,5,0.9486649181311018
64011,local_fixed,6,0.8711432869992157
64011,local_fixed,7,0.7334286047294557
64011,local_fixed,8,0.6770798291986737
64011,local_fixed,9,0.5417895296667871
64011,local_fixed,10,0.3518141291316778
64011,local_fixed,11,0.26781566024445747
64011,local_fixed,12,0.18215432615788738
64011,local_fixed,13,0.09853422968041249
64011,local_fixed,14,0.06023108021961505
64011,local_fixed,15,0.03280684131862542
64011,local_fixed,16,0.026414670530631058
64011,local_fixed,17,0.014247063502711562
64011,local_fixed,18,0.0072314345095425775
64011,local_fixed,19,0.00019936386552163815
64011,local_fixed,20,0.009097830703983484
64011,local_gap_matched,1,0.996825653736145
64011,local_gap_matched,2,0.9895998303303483
64011,local_gap_matched,3,0.9795034630415332
64011,local_gap_matched,4,0.9525924889121228
64011,local_gap_matched,5,0.8838723724926999
64011,local_gap_matched,6,0.8050213022062496
64011,local_gap_matched,7,0.785685800158913
64011,local_gap_matched,8,0.7481399491591548
64011,local_gap_matched,9,0.6767266612443862
64011,local_gap_matched,10,0.5429559186673694
